node_id,funn_id,opprinnelig_funn_id,kildested,dokumentert_status,påstand,lag_og_backend,strict,raises,forutsetninger,kommando_og_logg,observert_utfall,første_feilsted,målassertion_nådd,bevisstatus,foreslått_tiltak,registrert_status_2026-09-22,kategori_2026-09-22,merknad_2026-09-22
tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_forsering_respons_mangler_godkjenningsstotte,GFK-04,GFK-04,backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:208-258,Vedtatt avgrensning,"ApprovalService mangler støtte for forsering; command(action='prepare') kaster ValueError('Ugyldig vurderingstype.') fordi TRACKS kun er ('grunnlag', 'vederlag', 'frist').","Service (ApprovalService), SQLite",True,AssertionError,"service.command med track=""forsering"".",pytest -v tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_forsering_respons_mangler_godkjenningsstotte --runxfail; docs/vedlegg/testbevis-2026-09-22/11_tests_test_security_test_godkjenning_fullmakt_audit_20260918__test_forsering_respons_mangler_godkjenningsstotte.log,"Exit 1. Fails at line 255 on assert ""Ugyldig vurderingstype"" not in str(exc).",backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:255,True,Testen forventer støtte som er valgt bort,Ingen feilretting. Utvidelse av godkjenningsflyten til forsering er et produktvalg om godkjenningsomfang.,Avgrenset,Vedtatt avgrensning – ikke feil,"Forsering er vedtatt utenfor godkjenningsflyten (masterplanen 18.09). Testen forventer støtte og feiler med ValueError, i samsvar med avgrensningen. Rettet (RTB-01): dokumentert_status var «Åpen», bevisstatus «Reprodusert brudd», og foreslått_tiltak var «Utvid ApprovalService med støtte for track=""forsering"" og tilhørende fullmaktskontroll for forseringsrespons.»"
tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_te_bruker_kan_generere_bh_brev_pdf,GFK-05,GFK-05,backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:262-332,Åpen,POST /api/letter/generate tillater TE-bruker å generere offisielle BH-brev som PDF uten rollevalidering.,"Route (POST /api/letter/generate), Flask test client",True,AssertionError,TE-sesjon sender forespørsel om å generere BH-brev for KOE-sak.,pytest -v tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_te_bruker_kan_generere_bh_brev_pdf --runxfail; docs/vedlegg/testbevis-2026-09-22/12_tests_test_security_test_godkjenning_fullmakt_audit_20260918__test_te_bruker_kan_generere_bh_brev_pdf.log,Exit 1. Fails at line 329 on assert response.status_code == 403 (fikk 200 OK).,backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:329,True,Reprodusert brudd,I ruten /api/letter/generate: krev kontraktsside-sjekk mot brevtypen (TE kan kun generere TE-krav/-varsler; BH kun svar/avslag/EO).,Åpen,Åpent funn – reprodusert kjøretidsbrudd,
tests/test_security/test_integrasjoner_audit_20260918.py::test_webhook_secret_verification_not_constant_time,INT-01,INT-01,backend/tests/test_security/test_integrasjoner_audit_20260918.py:44-70,Åpen,catenda_webhook_routes.py verifiserer secret_path med '!=' i stedet for hmac.compare_digest.,"Route (catenda_webhook_routes.py), AST-inspeksjon",True,AssertionError,Inspeksjon av kildekoden til funksjon webhook.,pytest -v tests/test_security/test_integrasjoner_audit_20260918.py::test_webhook_secret_verification_not_constant_time --runxfail; docs/vedlegg/testbevis-2026-09-22/13_tests_test_security_test_integrasjoner_audit_20260918__test_webhook_secret_verification_not_constant_time.log,Exit 1. Fails at line 66 on assert 'compare_digest' in line.,backend/tests/test_security/test_integrasjoner_audit_20260918.py:66,True,Statisk belegg,Bytt ut strengsammenlikning i catenda_webhook_routes.py med hmac.compare_digest.,Åpen,Åpent funn – statisk belegg,Del av RV-12.
tests/test_security/test_integrasjoner_audit_20260918.py::test_webhook_failure_swallowed_with_http_200_and_drops_retry,INT-02,INT-02,backend/tests/test_security/test_integrasjoner_audit_20260918.py:72-113,Åpen,catenda_webhook_routes.py svarer HTTP 200 ved feil under hendelsesbehandling og reserverer duplikat-ID slik at retries forkastes.,"Route (catenda_webhook_routes.py), Mock handler",True,AssertionError,Webhook-kall der hendelsesbehandling kaster RuntimeError.,pytest -v tests/test_security/test_integrasjoner_audit_20260918.py::test_webhook_failure_swallowed_with_http_200_and_drops_retry --runxfail; docs/vedlegg/testbevis-2026-09-22/14_tests_test_security_test_integrasjoner_audit_20260918__test_webhook_failure_swallowed_with_http_200_and_drops_retry.log,"Exit 1. Fails at line 106 on assert resp.status_code in (500, 503) (fikk 200 OK).",backend/tests/test_security/test_integrasjoner_audit_20260918.py:106,True,Reprodusert brudd,Returner HTTP 500 / 503 ved feil i webhook-prosessering slik at Catenda retryer leveransen.,"Åpen, høy",Åpent funn – reprodusert kjøretidsbrudd,Del av RV-12. Løses med varig inbox (F3).
tests/test_security/test_integrasjoner_audit_20260918.py::test_bcf_event_types_blocked_by_security_validator,INT-03,INT-03,backend/tests/test_security/test_integrasjoner_audit_20260918.py:115-144,Åpen,validate_webhook_event_structure avviser bcf.issue.created og bcf.comment.created med 400 Bad Request.,Route / Validator (catenda_webhook_routes.py),True,AssertionError,"Webhook-payload med event_type=""bcf.issue.created"".",pytest -v tests/test_security/test_integrasjoner_audit_20260918.py::test_bcf_event_types_blocked_by_security_validator --runxfail; docs/vedlegg/testbevis-2026-09-22/15_tests_test_security_test_integrasjoner_audit_20260918__test_bcf_event_types_blocked_by_security_validator.log,Exit 1. Fails at line 141 on assert resp.status_code == 200 (fikk 400 Bad Request).,backend/tests/test_security/test_integrasjoner_audit_20260918.py:141,True,Reprodusert brudd,Registrer BCF-hendelsestypene i ALLOWED_WEBHOOK_EVENT_TYPES i webhook-validatoren.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,
tests/test_security/test_integrasjoner_audit_20260918.py::test_batch_events_skips_catenda_delivery_and_reports_clear,INT-05,INT-05,backend/tests/test_security/test_integrasjoner_audit_20260918.py:382-434,Åpen,POST /api/events/batch dropper Catenda-levering og CatendaDeliveryStatus rapporterer feilaktig 'clear'.,Route (POST /api/events/batch) + Service (CatendaDeliveryStatus),True,AssertionError,Gyldig batch-innsending av formelle hendelser.,pytest -v tests/test_security/test_integrasjoner_audit_20260918.py::test_batch_events_skips_catenda_delivery_and_reports_clear --runxfail; docs/vedlegg/testbevis-2026-09-22/16_tests_test_security_test_integrasjoner_audit_20260918__test_batch_events_skips_catenda_delivery_and_reports_clear.log,"Exit 1. Fails at line 420 on assert summary[""status""] != ""clear"".",backend/tests/test_security/test_integrasjoner_audit_20260918.py:420,True,Reprodusert brudd,Integrer Catenda-levering og leveringsstatus i submit_batch på samme måte som for enkeltvise hendelser.,"Duplikat av RV-10 (åpen, høy)",Åpent funn – reprodusert kjøretidsbrudd,Samme sak som RV-10.
tests/test_security/test_integrasjoner_audit_20260918.py::test_catenda_context_ignores_project_specific_catenda_config,INT-06,INT-06,backend/tests/test_security/test_integrasjoner_audit_20260918.py:437-494,Åpen,_prepare_catenda_context ignorerer sakens faktiske CatendaProjectConfig og overstyres av global .env.,Service / Route helper (routes/event_routes.py:_prepare_catenda_context),True,AssertionError,Sak tilhører et prosjekt med egne Catenda-IDs.,pytest -v tests/test_security/test_integrasjoner_audit_20260918.py::test_catenda_context_ignores_project_specific_catenda_config --runxfail; docs/vedlegg/testbevis-2026-09-22/17_tests_test_security_test_integrasjoner_audit_20260918__test_catenda_context_ignores_project_specific_catenda_config.log,Exit 1. Fails at line 485 on assert ctx.project_id == project_b_catenda.,backend/tests/test_security/test_integrasjoner_audit_20260918.py:485,True,Reprodusert brudd,Slå opp CatendaProjectConfig for sakens faktiske prosjekt_id i _prepare_catenda_context i stedet for å falle tilbake på globale settings.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,
tests/test_security/test_integrasjoner_audit_20260918.py::test_catenda_comment_generator_sakstype_standard_returns_generic_fallback,INT-07,INT-07,backend/tests/test_security/test_integrasjoner_audit_20260918.py:496-520,Åpen,CatendaCommentGenerator slår opp 'koe' i stedet for 'standard' og gir generisk fallback-tekst for standard KOE-saker.,Service (CatendaCommentGenerator),True,AssertionError,"generate_creation_comment(..., sakstype=""standard"").",pytest -v tests/test_security/test_integrasjoner_audit_20260918.py::test_catenda_comment_generator_sakstype_standard_returns_generic_fallback --runxfail; docs/vedlegg/testbevis-2026-09-22/18_tests_test_security_test_integrasjoner_audit_20260918__test_catenda_comment_generator_sakstype_standard_returns_generic_fallback.log,"Exit 1. Fails at line 513 on assert ""Ny Krav om endringsordre opprettet"" in comment.",backend/tests/test_security/test_integrasjoner_audit_20260918.py:513,True,Reprodusert brudd,Støtt sakstype 'standard' i typemappingen i CatendaCommentGenerator.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,
tests/test_security/test_konfigurasjon_audit_20260918.py::test_flask_starter_i_produksjon_med_dev_secret_key,CFG-01,CFG-01,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:32-51,Åpen,app.py tillater oppstart i produksjon med 'dev-only-secret-CHANGE-IN-PRODUCTION'.,Configuration (app.py:create_app),True,AssertionError,"APP_ENV=""production"", FLASK_SECRET_KEY usatt.",pytest -v tests/test_security/test_konfigurasjon_audit_20260918.py::test_flask_starter_i_produksjon_med_dev_secret_key --runxfail; docs/vedlegg/testbevis-2026-09-22/19_tests_test_security_test_konfigurasjon_audit_20260918__test_flask_starter_i_produksjon_med_dev_secret_key.log,"Exit 1. Fails at line 48 on assert ""dev-only-secret"" not in secret.",backend/tests/test_security/test_konfigurasjon_audit_20260918.py:48,True,Reprodusert brudd,"Valider i create_app() at FLASK_SECRET_KEY er satt og ulik standardverdi når production_like() er sann, krasj ved oppstart ellers.",Åpen,Åpent funn – reprodusert kjøretidsbrudd,
tests/test_security/test_konfigurasjon_audit_20260918.py::test_csrf_secret_i_env_er_ubrukt_og_koblet_fra_auth,CFG-02,CFG-03,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:53-83,Åpen,CSRF_SECRET dokumentert i .env.example brukes ikke av session.csrf_valid().,"Configuration / Auth (lib/auth/session.py), AST-inspeksjon",True,AssertionError,Inspeksjon av funksjon csrf_valid.,pytest -v tests/test_security/test_konfigurasjon_audit_20260918.py::test_csrf_secret_i_env_er_ubrukt_og_koblet_fra_auth --runxfail; docs/vedlegg/testbevis-2026-09-22/20_tests_test_security_test_konfigurasjon_audit_20260918__test_csrf_secret_i_env_er_ubrukt_og_koblet_fra_auth.log,Exit 1. Fails at line 80 on assert has_csrf_secret.,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:80,True,Statisk belegg,Avklar om CSRF-token skal signeres med en dedikert CSRF_SECRET eller avledes fra sesjonshemmeligheten; oppdater koden eller fjern ubrukt .env-variabel.,Åpen,Åpent funn – statisk belegg,ID rettet fra CFG-03: testfila og auditen sier CFG-02.
tests/test_security/test_konfigurasjon_audit_20260918.py::test_api_health_lekker_intern_feilmelding_ved_databasefeil,CFG-03,CFG-04,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:85-128,Åpen,/api/health returnerer rå str(e) med sensitiv databasetilkoblingsinformasjon.,Route (GET /api/health),True,AssertionError,Database-sjekk kaster OperationalError.,pytest -v tests/test_security/test_konfigurasjon_audit_20260918.py::test_api_health_lekker_intern_feilmelding_ved_databasefeil --runxfail; docs/vedlegg/testbevis-2026-09-22/21_tests_test_security_test_konfigurasjon_audit_20260918__test_api_health_lekker_intern_feilmelding_ved_databasefeil.log,Exit 1. Fails at line 125 on assert not any(sensitive in error_detail ...).,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:125,True,Reprodusert brudd,"Masker feilmeldinger i /api/health til generisk ""database_unavailable"" og logg den fulle feilen internt.",Duplikat av RV-13 (åpen),Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra CFG-04: testfila og auditen sier CFG-03. Samme familie som rad 31 (OBS-07).
tests/test_security/test_konfigurasjon_audit_20260918.py::test_cookie_name_inkonsistens_nar_app_env_er_usatt,CFG-04,CFG-02,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:130-160,Åpen,"Når APP_ENV er usatt, er production_like()=False mens cookie_name()='__Host-koe_session'.",Auth helper (lib/auth/session.py:cookie_name),True,AssertionError,APP_ENV fjernes fra miljøet.,pytest -v tests/test_security/test_konfigurasjon_audit_20260918.py::test_cookie_name_inkonsistens_nar_app_env_er_usatt --runxfail; docs/vedlegg/testbevis-2026-09-22/22_tests_test_security_test_konfigurasjon_audit_20260918__test_cookie_name_inkonsistens_nar_app_env_er_usatt.log,"Exit 1. Fails at line 157 on assert name == ""koe_session"" (fikk __Host-koe_session).",backend/tests/test_security/test_konfigurasjon_audit_20260918.py:157,True,Reprodusert brudd,"Gjør cookie_name() konsistent med production_like(), slik at __Host--prefikset kun benyttes i produksjon/staging.",Åpen,Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra CFG-02: testfila og auditen sier CFG-04.
tests/test_security/test_konfigurasjon_audit_20260918.py::test_supabase_credentials_mangler_i_settings_klasse,CFG-05,CFG-05,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:162-184,Åpen,SUPABASE_URL og SUPABASE_SECRET_KEY mangler i core.config.Settings.,"Configuration (core/config.py:Settings), Model-inspeksjon",True,AssertionError,Inspeksjon av Settings.model_fields.,pytest -v tests/test_security/test_konfigurasjon_audit_20260918.py::test_supabase_credentials_mangler_i_settings_klasse --runxfail; docs/vedlegg/testbevis-2026-09-22/23_tests_test_security_test_konfigurasjon_audit_20260918__test_supabase_credentials_mangler_i_settings_klasse.log,"Exit 1. Fails at line 181 on assert ""supabase_url"" in fields.",backend/tests/test_security/test_konfigurasjon_audit_20260918.py:181,True,Statisk belegg,Deklarer supabase_url og supabase_secret_key som validerte felter i Settings.,Åpen,Åpent funn – statisk belegg,
tests/test_security/test_konfigurasjon_audit_20260918.py::test_cors_origins_i_config_ignoreres_av_cors_config,CFG-06,CFG-06,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:186-211,Åpen,cors_origins i Settings er død kode; cors_config.py krever ALLOWED_ORIGINS.,Configuration (lib/cors_config.py),True,AssertionError,CORS_ORIGINS settes i miljøet; ALLOWED_ORIGINS er usatt.,pytest -v tests/test_security/test_konfigurasjon_audit_20260918.py::test_cors_origins_i_config_ignoreres_av_cors_config --runxfail; docs/vedlegg/testbevis-2026-09-22/24_tests_test_security_test_konfigurasjon_audit_20260918__test_cors_origins_i_config_ignoreres_av_cors_config.log,"Exit 1. Fails at line 208 on assert ""https://custom-origin.example.com"" in origins.",backend/tests/test_security/test_konfigurasjon_audit_20260918.py:208,True,Reprodusert brudd,Samle CORS-konfigurasjon i Settings og la cors_config.py konsumere verdien derfra.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,
tests/test_security/test_konfigurasjon_audit_20260918.py::test_settings_env_file_er_relativ_og_feiler_fra_repo_rot,CFG-07,CFG-07,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:213-234,Åpen,Settings.model_config['env_file'] er relativ ('.env') i stedet for absolutt sti.,Configuration (core/config.py:Settings),True,AssertionError,Inspeksjon av Settings.model_config['env_file'].,pytest -v tests/test_security/test_konfigurasjon_audit_20260918.py::test_settings_env_file_er_relativ_og_feiler_fra_repo_rot --runxfail; docs/vedlegg/testbevis-2026-09-22/25_tests_test_security_test_konfigurasjon_audit_20260918__test_settings_env_file_er_relativ_og_feiler_fra_repo_rot.log,Exit 1. Fails at line 232 on assert Path(env_file).is_absolute().,backend/tests/test_security/test_konfigurasjon_audit_20260918.py:232,True,Statisk belegg,Sett env_file til en absolutt sti avledet fra Path(__file__).resolve() i Settings.,Åpen,Åpent funn – statisk belegg,
